main_topic_id,main_topic_label,original_topic_id,new_topic_id,topic_label,top_phrases,n_segments_topic,representative_segments
0,Accuracy,9,0,Apartment Expectation,"apartment great, great apartment, apartment perfect, great location, apartment need, nice apartment, apartment exactly, apartment comfortable, apartment beautiful, lovely apartment",707,apartment equiped || no fault apartment owner || floor apartment
0,Accuracy,31,1,Photo Accuracy,"exactly like, like picture, exactly picture, place exactly, look exactly, like photo, look exactly like, place look, look like, exactly like photo",331,place look exactly like picture || place look exactly like picture || place look exactly like photo
1,Amenities,39,2,Coffee & Breakfast,"breakfast morning, coffee tea, coffee machine, coffee maker, coffee pod, tea coffee, nice touch, basket snack, like coffee, fridge coffee",286,local recommendation snack provide || provide complimentary water snack || no coffee maker keurig provide tea bag coffee pod etc
1,Amenities,45,3,General Amenities,"amenity need, great amenity, lot amenity, clean amenity, necessary amenity, amenity stay, basic amenity, amenity provide, good amenity, great location",250,cosy require amenity || fabulous property fully self sufficient necessary amenity || amenity hand
1,Amenities,15,4,Kitchen Facilities,"kitchen stock, fully equip, kitchen equipped, kitchen need, fully stock, kitchen fully, stock kitchen, clean stock, bed comfortable, mini fridge",592,small oven use || include food fridge didn t use bring || kitchen use life easy didn t want eat
1,Amenities,33,5,Laundry & Towels,"washer dryer, washing machine, extra towel, fresh towel, sheet towel, machine dryer, towel provide, washing machine dryer, linen towel, plenty towel",325,plenty sheet towel provide || plenty towel provide || marie provide extra linen towel
1,Amenities,16,6,Parking,"parking spot, free parking, parking garage, parking space, street parking, parking easy, parking include, park car, parking available, parking pass",581,parking spot include || car parking spot include helpul || secure parking spot include rental
1,Amenities,44,7,Temperature Control,"air conditioning, air conditioner, heat wave, hot day, space heater, warm comfortable, turn heat, bit hot, air condition, ac unit",262,space heater provide main room || bit hot room july || ac unit room
1,Amenities,51,8,Wi-Fi & TV,"wi fi, work perfectly, fast wifi, wifi work, work remotely, internet work, tv bedroom, internet fast, use tv, tv cable",205,monitor hook laptop work || wish tv work || internet work
2,Check-in,6,9,Check-in,"check check, check process, clear instruction, check easy, easy check, check time, instruction clear, check instruction, early check, flexible check",877,easy check check || check check instruction clear easy follow || easy check check
3,Cleanliness,21,10,Bathroom Cleanliness,"bathroom clean, private bathroom, room bathroom, water pressure, kitchen bathroom, bedroom bathroom, hot water, shower head, bathroom bedroom, suite bathroom",482,large clean room bathroom || clean room bathroom || clean room private bathroom
3,Cleanliness,4,11,General Cleanliness,"place clean, clean place, room clean, clean comfortable, super clean, nice clean, great location, clean need, clean spacious, clean tidy",1063,bedroom clean || clean neat || immaculately clean
3,Cleanliness,42,11,General Cleanliness,"condo clean, condo great, great condo, condo beautiful, condo perfect, clean condo, great location, stay condo, condo great location, condo fantastic",275,wake view beautiful experience condo clean || view condo beautiful || condo great location beautiful view
3,Cleanliness,43,11,General Cleanliness,"apartment clean, place spotless, clean apartment, apartment spotless, super clean, clean tidy, house spotless, extremely clean, apartment super, apartment clean modern",266,liz apartment clean || clean let apartment || rest apartment clean
4,Comfort,48,12,Basement & Ceiling,"basement apartment, low ceiling, basement suite, basement unit, bit low, ceiling bit, high ceiling, ceiling bit low, ceiling low, stay basement",226,6 foot tall bit short stretch || ceiling bit low || basement s little bit noisy humid
4,Comfort,13,13,Bed Comfort,"comfortable bed, bed comfortable, bed super, comfy bed, super comfortable, bed comfy, bed super comfortable, super comfy, sofa bed, bed super comfy",653,bed couch comfortable || 2 large comfortable pillow || comfortable bed
4,Comfort,3,14,Interior Design,"great space, nicely decorate, beautifully decorate, great location, tastefully decorate, space beautiful, thoughtful touch, clean modern, beautiful space, space great",1265,gorgeous space || wonderfully decorate space clear theme || ok low cost share space
4,Comfort,20,15,Interior Space & Natural Light,"living room, natural light, lot natural, room spacious, room nice, lot natural light, room great, comfortable room, room comfortable, second floor",508,room remarkable || room describe || room spacious
4,Comfort,41,16,Overall Comfort,"comfortable stay, feel safe, stay comfortable, feel comfortable, place comfortable, comfortable place, great location, need comfortable, need comfortable stay, nice comfortable",281,comfortable maintain || comfortable modestly price || comfortable essential
4,Comfort,46,16,Overall Comfort,"cozy place, nice cozy, place cozy, cozy comfortable, great location, comfortable cozy, nice cozy place, feel cozy, place stay, cute cozy",234,feel cozy comfortable stay || katherine s place cozy comfortable feel safe little home away home || hadi s place nice cozy comfortable enjoyable stay
5,Communication,19,17,Communication,"great communication, easy communicate, good communication, communication easy, communication great, host communicative, easy communication, communicative host, communication quick, helpful communicative",522,great communication easy check || check easy communication great || communication check quick easy
5,Communication,0,18,Host Quality,"great host, amazing host, wonderful host, friendly host, host great, fantastic host, host friendly, communication host, excellent host, good host",3046,host respond quickly || s hard hold host accountable go wrong || marcia accommodating host
5,Communication,27,19,Issue Handling,"sure need, minor thing, available need, issue whatsoever, perfect need, couldn ask, thing need, didn issue, didn bother, didn problem",376,s not issue || provide need fix issue encounter || didn t issue
5,Communication,25,20,Quick Response,"quick respond, respond question, respond quickly, answer question, quick respond question, quick response, respond message, helpful quick, quick reply, right away",390,quick reply || quick respond question || quick respond
5,Communication,22,21,Responsive Host,"host responsive, responsive host, responsive helpful, friendly responsive, super responsive, host friendly, host friendly responsive, responsive friendly, host responsive helpful, host super",433,host responsive request feedback || responsive host || responsive host
5,Communication,23,21,Responsive Host,"responsive helpful, responsive question, super responsive, helpful responsive, friendly responsive, extremely responsive, responsive accommodate, responsive friendly, answer question, responsive need",430,ahmed responsive question || joan responsive question accomodate request || khang responsive quickly answer question
6,Experience,11,22,Home Feeling,"away home, home away home, home away, feel home, feel like, like home, feel like home, like home away, beautiful home, beautiful house",677,house comfortable equipped feel like real home away home || house family need truly feel like home away home || home stay house
6,Experience,1,23,Overall Experience,"stay toronto, visit toronto, downtown toronto, place stay, time toronto, highly recommend, definitely stay, come toronto, place stay toronto, trip toronto",1928,definitely stay visit toronto || definitely stay visit toronto || perfect place stay visit toronto
6,Experience,12,23,Overall Experience,"enjoy stay, great stay, place stay, place great, wonderful stay, great time, stay place, love stay, time stay, place amazing",658,enjoyable stay place || stay ying s place s superb || special place stay
6,Experience,14,23,Overall Experience,"air bnb, good airbnb, stay airbnb, airbnb experience, recommend airbnb, ve stay, time airbnb, book airbnb, airbnb stay, highly recommend",616,hand good airbnb experience ve || good airbnb experience ve || good airbnb rental ve experience
6,Experience,26,23,Overall Experience,"enjoy time, stay future, definitely stay, enjoy stay, ll definitely, hope stay, wait come, absolutely love, love stay, need stay",388,enjoy hope come || definitely come time || enjoy time definitely stay
6,Experience,32,23,Overall Experience,"great stay, wonderful stay, good stay, amazing stay, awesome stay, excellent stay, incredible stay, amazing stay great, great view, great stay definitely",327,great stay || great stay || great stay
6,Experience,36,23,Overall Experience,"definitely stay, absolutely stay, certainly stay, totally stay, gladly stay, definately stay, sure stay",308,definitely stay || definitely stay || definitely stay
6,Experience,47,23,Overall Experience,"stay night, night stay, especially night, spend night, place stay, need night, great night, great place, overnight stay, late night",231,m stay night || stay night || stay 4 night
6,Experience,50,23,Overall Experience,"great experience, good experience, experience stay, overall great experience, overall great, wonderful experience, amazing experience, great experience stay, fantastic experience, nice experience",209,experience well || experience utilize service || relaxed hassle free experience
6,Experience,52,23,Overall Experience,"great place, wonderful place",200,great place || great place || great place
6,Experience,5,24,Recommendation,"place stay, highly recommend, definitely recommend, short stay, stay month, recommend place, great place, recommend stay, long stay, term stay",957,highly recommend short long stay || definitely recommend jenn s place weekend getaway long term stay like || d definitely recommend long term stay short term trip
6,Experience,18,24,Recommendation,"highly recommend, definitely recommend, totally recommend, definitely use, strongly recommend, recommend highly, great recommendation, absolutely recommend, fully recommend, recommend sure",534,highly recommend || highly recommend || highly recommend
6,Experience,40,24,Recommendation,"book place, definitely book, highly recommend, stay recommend, recommend friend, enjoy stay, definitely recommend, book future, hesitate stay, recommend book",283,definitely recommend place friend || great time stay sichao s place definitely recommend friend || definitely ll come time highly recommend friend
6,Experience,29,25,View Experience,"view balcony, great view, balcony view, great view balcony, amazing view, view city, patio great, beautiful view, beautiful garden, city balcony",362,great view balcony || great view 52nd floor || 40th floor great view
6,Experience,35,25,View Experience,"great view, amazing view, beautiful view, view city, view amazing, great location, nice view, incredible view, location view, view location",315,view extraordinary || incredible view || view incredible
7,Location,37,26,Access & Entry,"private entrance, door lock, leave key, separate entrance, flight stair, long wait, door didn, door open, slide door, check easy",302,room bit warm sun need door close || didn t work properly door elevator country bumpkin || son leave bedroom door lock not access room not safe setup
7,Location,8,27,Location Convenience,"great location, great place, place great, place great location, convenient location, location convenient, place location, explore city, location great, location good",741,great location city melanie || s great location city break || matt s place location great area explore city
7,Location,17,27,Location Convenience,"walking distance, walk distance, minute walk, able walk, min walk, feel safe, view lake, great location, location great, distance downtown",542,walk distance || 30min walk 5min car ride || walk second minute
7,Location,24,27,Location Convenience,"great location, excellent location",416,great location || great location || great location
7,Location,28,27,Location Convenience,"close downtown, close need, far downtown, downtown area, location downtown, heart downtown, downtown core, location perfect, heart city, great location",374,location great close || location great close || location great close yorkdale mall central term go east west downtown
7,Location,38,27,Location Convenience,"great neighborhood, great neighbourhood, nice neighbourhood, nice neighborhood, lovely neighborhood, safe neighborhood, safe neighbourhood, neighborhood feel, neighbourhood great, neighbourhood lovely",298,s locate lovely neighbourhood || ideally locate lovely neighbourhood || locate lovely safe neighbourhood not far town
7,Location,2,28,Nearby Restaurants & Shops,"grocery store, great restaurant, walk distance, coffee shop, lot restaurant, walking distance, shop restaurant, good restaurant, restaurant shop, place eat",1347,close lot restaurant || close public transportation lot restaurant store || lot good place eat close
7,Location,7,29,Neighborhood Quietness,"quiet neighborhood, nice quiet, clean quiet, light sleeper, quiet place, quiet neighbourhood, neighborhood quiet, quiet street, quiet area, place stay",827,quiet neighbourhood || neighbourhood quiet peaceful || bedroom quiet
7,Location,49,30,Tourist & Event Attractions,"cn tower, view cn, view cn tower, walk distance, walk cn tower, walk cn, distance cn tower, distance cn, tower roger, cn tower roger",212,view cn tower spectacular || enjoyable evening patio view change light cn tower || view location unmatched short walk cn tower
7,Location,10,31,Transportation Access,"subway station, close subway, bus stop, union station, minute walk, walk subway, train station, min walk, short walk, easy access",689,location good minute walk away subway close numerous shop store || pros coxwell subway station close 10minute walk || close specially subway 7 min walk
7,Location,30,31,Transportation Access,"public transportation, public transport, public transit, close public, close transit, easy access, close public transit, access public, great location, easy access public",340,transportation downtown close easy || easy close bank access transit good || location good close easy access public transportation
8,Value,34,32,Value,"great value, value money, great price, good value, great location, great place, worth price, location great, place great, great value money",321,price location fairly good || great place stay good value || good stay khang s place certainly great value
